motif,temperature,diffusion,tof,size,states,residual,oxygen_balance_error,sulfur_balance_error,oxygen_coverage,sulfate_coverage,bare_coverage
single,673,0.0,0.0,1,2,2.0447286008676005e-12,0.0,0.0,0.0,0.0,0.0
pair,673,0.0,0.0,2,5,7.303199436981232e-12,-1.8509499488672532e-14,-6.4016292267154995e-12,0.9999949602084752,0.0,0.0
path3,673,0.0,0.10128872305642152,3,43,8.025329424794457e-11,-6.7057470687359455e-12,4.131117670169715e-11,0.999943020110995,0.0,0.0
triangle,673,0.0,0.2882468096544846,3,60,1.2236578520805242e-10,-4.438893697056301e-12,6.996669910108722e-11,0.999891224227577,0.0,0.0
path4,673,0.0,0.12210942653528926,4,212,6.000334695953489e-11,3.52063933561908e-11,-6.175920885809205e-11,0.999938299767969,0.0,0.0
star4,673,0.0,0.8170180434380874,4,211,6.578547491885033e-11,1.901456769815013e-11,2.9116264954609505e-11,0.9996056988737717,0.0,0.0
square,673,0.0,0.22743307076694935,4,225,2.6303715250546627e-11,-8.052336575303798e-12,-5.033728989189967e-11,0.9999137153756346,0.0,0.0
path5,673,0.0,0.4563434653790205,5,931,5.982263835294486e-10,3.711253526716973e-11,-3.9828318421086806e-10,0.9997959729248628,0.0,0.0
square_tail,673,0.0,1.0687141923464611,5,956,2.0178745917559307e-10,-1.0471623568264476e-10,-5.086597809622617e-11,0.9996058694345157,0.0,0.0
rectangle6,673,0.0,1.9950847011102673,6,3991,1.518160068682012e-09,-4.7135628733485646e-11,8.302230014578527e-10,0.9993599377087251,0.0,0.0
single,673,100.0,0.0,1,2,2.0447286008676005e-12,0.0,0.0,0.0,0.0,0.0
pair,673,100.0,0.0,2,5,7.303189186739349e-12,-1.8506030041720578e-14,-6.401490448837421e-12,0.9999949602084752,0.0,0.0
path3,673,100.0,0.10192810446641855,3,59,6.99244206697003e-11,1.492911350098325e-11,1.2109258040737814e-11,0.9999427155036823,0.0,0.0
triangle,673,100.0,0.28824680965074284,3,60,1.0971825007655586e-10,5.146882919859763e-12,9.576450743509213e-11,0.9998912242275775,0.0,0.0
path4,673,100.0,0.12322864503987976,4,248,1.5355560785703623e-11,1.5360157590293966e-11,1.3444190205547102e-11,0.9999377983172104,0.0,0.0
star4,673,100.0,0.7964146702949151,4,247,2.0524212861190646e-11,2.2600588067689387e-11,3.516475999276736e-11,0.9996158732818524,0.0,0.0
square,673,100.0,0.2295219046168005,4,249,3.874362406723694e-10,9.422906899203554e-12,3.4899838574631303e-10,0.9999129649068191,0.0,0.0
path5,673,100.0,0.46160834900067355,5,1011,4.4249311263990975e-11,6.717959522006822e-11,-5.064837438339964e-12,0.9997937069079047,0.0,0.0
square_tail,673,100.0,1.0818388065702247,5,1012,3.523454908204128e-11,-1.3219647598816664e-11,-4.444711265705337e-11,0.9996011943487095,0.0,0.0
rectangle6,673,100.0,2.030302316615087,6,4079,1.014402130748271e-09,-2.700915047171293e-10,5.810214531720703e-10,0.9993487709090777,0.0,0.0
single,673,10000.0,0.0,1,2,2.0447286008676005e-12,0.0,0.0,0.0,0.0,0.0
pair,673,10000.0,0.0,2,5,4.360507554196318e-12,-8.654882366343486e-14,-3.776617907291779e-12,0.9999949602084752,0.0,0.0
path3,673,10000.0,0.1379651877973537,3,59,7.836643677722879e-11,-7.68962671315876e-12,-7.631983933720221e-11,0.9999252262447825,0.0,0.0
triangle,673,10000.0,0.28824680965152183,3,60,2.744380744560871e-11,3.172462292866385e-12,5.844214001626824e-12,0.9998912242275771,0.0,0.0
path4,673,10000.0,0.19118188420443266,4,248,2.2058763285553024e-12,-1.7177370637000422e-12,-3.6347591603203e-12,0.9999073607190637,0.0,0.0
star4,673,10000.0,0.41048156498789723,4,247,1.1402992048660043e-09,-1.2476242261527659e-11,-1.0700866859281177e-09,0.9998055757113864,0.0,0.0
square,673,10000.0,0.32795070176634245,4,249,7.487511915201807e-10,1.7032375509984377e-11,-6.308900069029733e-10,0.9998777995686743,0.0,0.0
path5,673,10000.0,0.8491618710855751,5,1011,2.9340489737593195e-10,-6.128431095930864e-13,-2.725020209481954e-10,0.9996271277354327,0.0,0.0
square_tail,673,10000.0,1.7717397351816921,5,1012,2.790860343779804e-10,2.950528710243816e-12,2.2874857563692785e-10,0.999356983374539,0.0,0.0
rectangle6,673,10000.0,4.03126877897864,6,4079,2.6608628827666527e-09,-5.81579229219642e-11,2.110358110485322e-09,0.9987183510179715,0.0,0.0
single,673,1000000.0,0.0,1,2,2.0447286008676005e-12,0.0,0.0,0.0,0.0,0.0
pair,673,1000000.0,0.0,2,5,4.19816692714398e-12,-8.444633881055097e-14,-4.739514336549178e-12,0.9999949602084752,0.0,0.0
path3,673,1000000.0,0.19085746076618396,3,59,2.7879414294585582e-11,-2.3848700791972988e-12,-2.77372569357226e-11,0.9998996804208189,0.0,0.0
triangle,673,1000000.0,0.2882468096505525,3,60,3.453466626934068e-11,5.6135096571097165e-12,3.507916179756876e-11,0.9998912242275774,0.0,0.0
path4,673,1000000.0,0.32139774097140017,4,248,1.6598141580382345e-11,-1.4939605108565956e-11,-2.1668888905423955e-11,0.9998506795090426,0.0,0.0
star4,673,1000000.0,0.33330915267136235,4,247,1.1498255311530055e-09,-1.0899947611164862e-11,-1.0879264156216095e-09,0.9998457515843172,0.0,0.0
square,673,1000000.0,0.41852173411704974,4,249,1.462190003233816e-10,3.674349713378433e-11,1.6834489358075189e-10,0.9998465006443328,0.0,0.0
path5,673,1000000.0,2.144528010539583,5,1011,5.153649722790374e-10,8.548184382561885e-11,-4.1526604377395415e-10,0.9990859764559935,0.0,0.0
square_tail,673,1000000.0,2.686302369005504,5,1012,6.499605482841535e-11,2.8279600883251987e-12,9.800871225706942e-11,0.9990471530177852,0.0,0.0
rectangle6,673,1000000.0,6.722044353876053,6,4079,1.6073472792419937e-09,-6.764366844436154e-11,-1.46977896520184e-09,0.99790179506252,0.0,0.0
single,745,0.0,0.0,1,2,3.960490800060306e-12,0.0,7.275957614183426e-12,0.0,0.0,0.0
pair,745,0.0,0.0,2,5,1.1111961168970231e-11,-1.6282530879152546e-12,-1.993516463016931e-11,0.9999251595521872,0.0,0.0
path3,745,0.0,1.2285722946400062,3,43,6.354690683018654e-11,-1.7332801860447944e-12,-5.939337910376707e-11,0.9995965950866845,0.0,0.0
triangle,745,0.0,3.6428647083421555,3,60,1.795756073036504e-11,-1.658762016631954e-11,-4.444977719231247e-11,0.9992457447917605,0.0,0.0
path4,745,0.0,1.8550498354100446,4,212,9.684731808269314e-11,-1.0519407567244343e-10,-1.176614361497741e-10,0.9994847353720568,0.0,0.0
star4,745,0.0,5.448093691990657,4,211,5.214447478158099e-11,-3.96980226469168e-11,-5.469757979881251e-11,0.9986069318507657,0.0,0.0
square,745,0.0,3.499681476718752,4,225,2.514013383622038e-10,-2.468603099714528e-11,4.4426684553400264e-12,0.9992878084810533,0.0,0.0
path5,745,0.0,3.9342471116715467,5,931,5.915702997479704e-09,1.5426948607455415e-10,-3.3499958362881443e-09,0.9990487674490947,0.0,0.0
square_tail,745,0.0,8.648475704353025,5,956,1.8944467737343235e-09,-3.985221042057674e-10,-2.9246649546621484e-10,0.9983376270621335,0.0,0.0
rectangle6,745,0.0,16.530257419539645,6,3991,2.490945998031548e-09,7.65680852055084e-11,1.5474341807930614e-09,0.9972965458450179,0.0,0.0
single,745,100.0,0.0,1,2,3.960490800060306e-12,0.0,7.275957614183426e-12,0.0,0.0,0.0
