motif,oxidation,barrier,renewal,copper_yield,tof,size,states,residual,oxygen_balance_error,sulfur_balance_error,oxygen_coverage,sulfate_coverage,bare_coverage
single,0.16,0.95,0.01,0.0,0.0,1,3,8.615318527032696e-12,-3.615814245239157e-17,-7.275957614183426e-12,0.0,0.0,0.0588235294117645
pair,0.16,0.95,0.01,0.0,0.0,2,10,1.7488693170240584e-13,-5.024539811993023e-14,-2.2737367544323206e-13,0.9125853556353303,0.0,0.05882352941161696
path3,0.16,0.95,0.01,0.025361514783333795,0.00025361514783333797,3,94,5.574986847374842e-12,4.119146104937521e-12,-1.8814289319199484e-12,0.049332457238321956,0.5716573291927108,0.05882352941024729
triangle,0.16,0.95,0.01,0.02536371536583795,0.0002536371536583795,3,127,1.1837086407900019e-11,8.92346309691594e-13,-1.7326045763030318e-11,0.08584468717379654,0.5717069312090928,0.0588235294111954
path4,0.16,0.95,0.01,0.019595656780472273,0.00019595656780472273,4,679,8.312125026159693e-11,5.538466820581567e-13,-1.8632340679017312e-11,0.153148018526434,0.44169289246012916,0.05882352941230293
star4,0.16,0.95,0.01,0.02041584533702422,0.0002041584533702422,4,740,1.0650307275804035e-11,2.3447062433984422e-12,2.221547815497993e-12,0.011263894860178075,0.4601802266356956,0.05882352941273207
square,0.16,0.95,0.01,0.02142605487334105,0.0002142605487334105,4,842,5.7022779516351505e-11,3.439877506103417e-13,-5.372767606249412e-11,0.4166977512044313,0.48295069959954845,0.05882352941224323
single,0.16,0.95,0.03162277660168379,0.0,0.0,1,3,2.204374777960273e-12,2.3635607360183997e-17,0.0,0.0,0.0,0.16502618927924428
pair,0.16,0.95,0.03162277660168379,0.0,0.0,2,10,7.092395879477122e-13,7.107526373006934e-13,4.547473508864641e-13,0.7598184753470189,0.0,0.1650261892810984
path3,0.16,0.95,0.03162277660168379,0.020218281984074583,0.0006393582144522387,3,94,7.561967700079979e-12,-4.636598830570771e-12,6.248105331729814e-13,0.08250003448972962,0.4557270803186459,0.1650261892808615
triangle,0.16,0.95,0.03162277660168379,0.02022352644278056,0.0006395240587982945,3,127,1.148943278178673e-11,-3.731927961103665e-13,-1.2436140658933503e-11,0.1327200305272374,0.45584529218675773,0.1650261892801977
path4,0.16,0.95,0.03162277660168379,0.016044509205739903,0.000507371930296772,4,679,5.132353535224985e-11,1.0669720315603648e-13,-7.378168432117804e-11,0.1590810187348528,0.3616487958875589,0.16502618927952747
star4,0.16,0.95,0.03162277660168379,0.01719790267997615,0.0005438454344663848,4,740,4.567224424748913e-11,-2.067265629512871e-12,4.03499846382549e-11,0.026172773518012768,0.38764668438674127,0.16502618927804596
square,0.16,0.95,0.03162277660168379,0.018484967663747232,0.0005845460029200275,4,842,1.756394109062644e-10,-1.8392405654044097e-13,1.712376473256283e-10,0.3429871571016689,0.41665757499945855,0.16502618927921586
single,0.16,0.95,0.1,0.0,0.0,1,3,6.19313467063796e-12,-9.540979117872439e-18,-3.637978807091713e-12,0.0,0.0,0.3846153846153846
pair,0.16,0.95,0.1,0.0,0.0,2,10,1.1928507682375773e-12,-6.247433126382873e-13,-1.8189894035458565e-12,0.46881750017811624,0.0,0.38461538461418326
path3,0.16,0.95,0.1,0.010996672048639392,0.0010996672048639393,3,94,2.5873613281092786e-12,-2.240034980421912e-12,-1.178252374139932e-12,0.11909055600260043,0.2478687976241475,0.38461538461471334
triangle,0.16,0.95,0.1,0.011004343146211435,0.0011004343146211436,3,127,1.8393217633543864e-11,1.8004144182459658e-12,2.1292197605743413e-11,0.18283940024673476,0.24804170681269855,0.3846153846166386
path4,0.16,0.95,0.1,0.009374210376746845,0.0009374210376746845,4,679,3.024887592677047e-11,-1.1466366051093857e-11,1.1204395050645743e-11,0.15216205625357387,0.2112979494704531,0.38461538460887096
star4,0.16,0.95,0.1,0.010752473541798502,0.0010752473541798503,4,740,1.56264454666089e-10,-1.3456334137240678e-11,1.331277440716483e-10,0.05002108626615521,0.24236447869108788,0.3846153846085919
square,0.16,0.95,0.1,0.012175274384192128,0.0012175274384192128,4,842,1.2418931145794325e-10,-9.800101702372999e-12,-1.395737934950514e-10,0.21640699024683382,0.2744349025818117,0.3846153846097115
single,0.16,0.95,0.31622776601683794,0.0,0.0,1,3,4.442545476884527e-13,3.426078865054194e-17,0.0,0.0,0.0,0.6640263096412088
